name,abbrev,capital,population,zip start,zip end,latitude,longitude
Alabama,AL,Montgomery,4849377.0,35004,36925,32.377716,-86.300568
Alaska,AK,Juneau,736732.0,99501,99950,58.301598,-134.420212
Arizona,AZ,Phoenix,6731484.0,85001,86556,33.448143,-112.096962
Arkansas,AR,Little Rock,2966369.0,71601,72959,34.746613,-92.288986
California,CA,Sacramento,3.88025E7,90001,96162,38.576668,-121.493629
Colorado,CO,Denver,5355866.0,80001,81658,39.739227,-104.984856
Connecticut,CT,Hartford,3596677.0,6001,6389,41.764046,-72.682198
Delaware,DE,Dover,935614.0,19701,19980,39.157307,-75.519722
Hawaii,HI,Honolulu,1419561.0,96701,96898,21.307442,-157.857376
Florida,FL,Tallahassee,1.9893297E7,32004,34997,30.438118,-84.281296
Georgia,GA,Atlanta,1.0097343E7,30001,31999,33.749027,-84.388229
Idaho,ID,Boise,1634464.0,83201,83876,43.617775,-116.199722
Illinois,IL,Springfield,1.288058E7,60001,62999,39.798363,-89.654961
Indiana,IN,Indianapolis,6596855.0,46001,47997,39.768623,-86.162643
Iowa,IA,Des Moines,3107126.0,50001,52809,41.591087,-93.603729
Kansas,KS,Topeka,2904021.0,66002,67954,39.048191,-95.677956
Kentucky,KY,Frankfort,4413457.0,40003,42788,38.186722,-84.875374
Louisiana,LA,Baton Rouge,4649676.0,71234,71497,30.457069,-91.187393
Maine,ME,Augusta,1330089.0,3901,4992,44.307167,-69.781693
Maryland,MD,Annapolis,5976407.0,20331,20331,38.978764,-76.490936
Massachusetts,MA,Boston,6745408.0,1001,2791,42.358162,-71.063698
Michigan,MI,Lansing,9909877.0,48001,49971,42.733635,-84.555328
Minnesota,MN,St. Paul,5457173.0,55001,56763,44.955097,-93.102211
Mississippi,MS,Jackson,2994079.0,38601,39776,32.303848,-90.182106
Missouri,MO,Jefferson City,6063589.0,null,null,38.579201,-92.172935
Montana,MT,Helena,1023579.0,59001,59937,46.585709,-112.018417
Nebraska,NE,Lincoln,1881503.0,68001,68118,40.808075,-96.699654
Nevada,NV,Carson City,2839099.0,88901,89883,39.163914,-119.766121
New Hampshire,NH,Concord,1326813.0,3031,3897,43.206898,-71.537994
New Jersey,NJ,Trenton,8938175.0,7001,8989,40.220596,-74.769913
New Mexico,NM,Santa Fe,2085572.0,87001,88441,35.68224,-105.939728
North Carolina,NC,Raleigh,9943964.0,27006,28909,35.78043,-78.639099
North Dakota,ND,Bismarck,739482.0,58001,58856,46.82085,-100.783318
New York,NY,Albany,1.9746227E7,null,null,42.652843,-73.757874
Ohio,OH,Columbus,1.1594163E7,43001,45999,39.961346,-82.999069
Oklahoma,OK,Oklahoma City,3878051.0,73001,73199,35.492207,-97.503342
Oregon,OR,Salem,3970239.0,97001,97920,44.938461,-123.030403
Pennsylvania,PA,Harrisburg,1.2787209E7,15001,19640,40.264378,-76.883598
Rhode Island,RI,Providence,1055173.0,2801,2940,41.830914,-71.414963
South Carolina,SC,Columbia,4832482.0,29001,29948,34.000343,-81.033211
South Dakota,SD,Pierre,853175.0,57001,57799,44.367031,-100.346405
Tennessee,TN,Nashville,6549352.0,37010,38589,36.16581,-86.784241
Texas,TX,Austin,2.6956958E7,73301,73301,30.27467,-97.740349
Utah,UT,Salt Lake City,2942902.0,84001,84784,40.777477,-111.888237
Vermont,VT,Montpelier,626562.0,5001,5495,44.262436,-72.580536
Virginia,VA,Richmond,8326289.0,20040,20041,37.538857,-77.43364
Washington,WA,Olympia,7061530.0,98001,99403,47.035805,-122.905014
West Virginia,WV,Charleston,1850326.0,24701,26886,38.336246,-81.612328
Wisconsin,WI,Madison,5757564.0,53001,54990,43.074684,-89.384445
Wyoming,WY,Cheyenne,584153.0,82001,83128,41.140259,-104.820236
